sensors,temperature,humidity,count,time
"-273,-273,-273,-273,26.2,22.8,24.4,21.5",21,32,0,1606155205.185347
"-273,-273,-273,-273,26.3,22.8,24.4,21.5",20,33,0,1606155223.745341
"-273,-273,-273,-273,26.3,22.8,24.4,21.5",0,33,0,1606155242.305359
"-273,-273,-273,-273,26.3,22.8,24.4,21.5",20,33,0,1606155260.865338
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",21,32,0,1606155279.425344
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",21,32,0,1606155297.985498
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",21,32,0,1606155316.54536
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",21,32,0,1606155335.105644
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",21,32,0,1606155353.665401
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",0,32,0,1606155372.225459
"-273,-273,-273,-273,26.4,22.8,24.4,21.4",21,32,0,1606155390.785406
"-273,-273,-273,-273,26.5,22.8,24.4,21.4",21,32,0,1606155409.345415
"-273,-273,-273,-273,26.5,22.8,24.4,21.4",21,32,0,1606155427.905405
"-273,-273,-273,-273,26.6,22.8,24.4,21.4",21,32,0,1606155446.465926
"-273,-273,-273,-273,26.6,22.8,24.4,21.4",0,32,0,1606155465.025355
"-273,-273,-273,-273,26.6,22.8,24.4,21.4",21,32,0,1606155483.585887
"-273,-273,-273,-273,26.6,22.8,24.4,21.4",21,32,0,1606155502.145353
"-273,-273,-273,-273,26.6,22.8,24.4,21.4",21,32,0,1606155520.785577
"-273,-273,-273,-273,26.7,22.8,24.4,21.4",21,32,0,1606155539.345348
"-273,-273,-273,-273,26.7,22.8,24.4,21.4",21,32,0,1606155557.905343
"-273,-273,-273,-273,26.7,22.8,24.4,21.4",21,32,0,1606155576.465348
